market_year,state,issuer_id,median_age40_premium,mean_age40_premium,minimum_age40_premium,rated_plans,rating_areas
2016,MO,30613,318.91,313.9306666666667,182.28,15,3
2016,MO,32753,351.28499999999997,360.32047619047614,252.42,18,7
2016,MO,34762,344.39,348.98962962962963,221.32,15,3
2016,MO,44240,339.31,343.66767857142855,244.67,23,5
2016,MO,44527,368.865,385.100625,226.58,12,5
2016,MO,74483,292.365,290.50374999999997,228.41,8,1
2016,MS,48963,322.725,331.13903846153846,179.81,22,5
2016,MS,90714,276.85,279.3805208333333,222.44,16,6
2016,MS,97560,322.61,326.45166666666665,221.76,6,6
2016,MT,23603,310.0,326.5208333333333,258.0,12,4
2016,MT,30751,313.425,316.0509090909091,207.04,17,4
2016,MT,32225,319.02,331.76863636363635,213.14,11,4
2016,NC,11512,466.29,467.95236842105265,197.11,42,16
2016,NC,54332,365.19500000000005,366.66817460317463,234.61,9,14
2016,NC,61671,365.23,361.578115942029,190.23,32,10
2016,ND,37160,368.82500000000005,335.8066666666667,155.71,6,4
2016,ND,73751,347.23,342.46950000000004,184.72,20,4
2016,ND,89364,302.695,308.185,246.27,10,4
2016,NE,15438,305.345,328.5834375,242.15,20,4
2016,NE,20305,402.46500000000003,388.39,219.81,10,4
2016,NE,29678,358.54,378.11909090909097,213.16,11,4
2016,NE,44751,354.33500000000004,355.1540625,262.21,8,4
2016,NH,59025,336.64,329.0177777777778,223.79,9,1
2016,NH,61163,241.39499999999998,243.93200000000002,143.09,10,1
2016,NH,75841,419.63,419.63,404.27,2,1
2016,NH,96751,289.53,285.97545454545457,193.97,11,1
2016,NJ,10191,387.55,447.14941176470586,299.24,17,1
2016,NJ,48834,383.46000000000004,379.0775,259.54,8,1
2016,NJ,50221,340.48,348.25333333333333,231.18,9,1
2016,NJ,77606,443.375,457.43333333333334,337.65,6,1
2016,NJ,91661,398.62,419.9222222222222,262.45,9,1
2016,NJ,91762,402.34,410.0078947368421,286.57,19,1
2016,NM,19722,212.6,221.13466666666667,152.03,3,5
2016,NM,57173,300.64,296.3058461538462,147.43,13,5
2016,NM,72034,249.18,242.68705882352944,138.89,11,5
2016,NM,93091,220.54,226.868,141.52,7,5
2016,NV,16698,348.20000000000005,341.64468750000003,212.24,21,3
2016,NV,33670,340.84,354.73886363636365,209.11,11,4
2016,NV,60156,371.265,374.5433823529412,202.05,17,4
2016,NV,95865,313.1,314.4021875,206.42,16,2
2016,OH,20126,349.485,348.9075,266.48,9,4
2016,OH,23340,299.72,308.9942857142857,233.66,14,1
2016,OH,26734,252.225,253.19850000000002,198.3,10,2
2016,OH,28162,325.85,332.22605555555555,166.69,60,3
2016,OH,29276,330.39,337.07864686468645,212.88,39,17
2016,OH,33931,363.02,363.46274509803925,264.3,9,17
2016,OH,41047,241.41,245.63194805194806,204.55,11,7
2016,OH,52664,311.29,318.83971428571425,211.6,10,5
2016,OH,64353,274.28,288.6057692307692,203.21,3,9
2016,OH,66083,305.05499999999995,301.5777777777778,178.49,18,3
2016,OH,67129,320.59,326.176875,223.65,4,12
2016,OH,74313,316.78999999999996,308.5846875,166.35,8,8
2016,OH,77552,275.57,287.40735294117644,182.85,42,15
2016,OH,78726,397.48,397.73954248366016,291.57,9,17
2016,OH,92036,364.66,375.2488888888889,260.46,9,10
2016,OH,99969,348.67,360.0825110132158,188.41,23,17
2016,OK,45480,381.25,374.7364,291.27,10,5
2016,OK,87571,277.02,290.2275,192.26,64,5
2016,OR,10091,307.0,332.82142857142856,260.0,8,7
2016,OR,30969,289.5,287.125,220.0,8,1
2016,OR,32536,285.305,282.52583333333337,220.4,12,3
2016,OR,39424,282.0,289.94805194805195,189.0,16,7
2016,OR,56707,278.0,280.17808219178085,176.0,13,7
2016,OR,63474,311.98,320.7849056603773,221.31,17,7
2016,OR,71287,266.0,259.8,195.0,10,5
2016,OR,85804,314.0,315.77777777777777,225.0,9,7
2016,OR,95417,297.49,294.62,208.14,4,1
2016,PA,16322,223.33999999999997,246.09491666666665,145.15,24,5
2016,PA,22444,306.83500000000004,299.7807142857143,185.48,14,6
2016,PA,24872,234.985,240.179,169.16,6,5
2016,PA,31609,393.695,393.069,233.59,10,1
2016,PA,33709,210.86,210.7025,168.45,4,2
2016,PA,33871,352.1,349.71999999999997,226.92,7,1
2016,PA,36247,326.805,327.0725,296.43,2,2
2016,PA,45127,358.565,380.63433333333336,283.78,10,3
2016,PA,53789,322.64,316.52916666666664,129.53,48,3
2016,PA,55957,294.415,273.90875,158.88,8,1
2016,PA,64844,262.64,277.3246808510638,195.48,19,9
2016,PA,70194,356.96500000000003,365.5612068965517,263.41,14,7
2016,PA,75729,340.03,346.654375,262.17,8,6
2016,SC,26065,320.445,329.72780718336486,228.19,23,46
2016,SC,38408,356.875,346.043023255814,200.92,31,14
2016,SC,49532,322.855,333.2838920056101,226.75,31,46
2016,SC,57860,400.0,404.44044444444444,282.35,9,5
2016,SD,31195,318.285,323.248,250.93,10,4
2016,SD,60536,324.475,337.07785714285717,215.38,14,4
2016,TN,14002,373.67,409.70108974358976,194.82,72,8
2016,TN,69443,284.40999999999997,285.63375,189.38,9,8
2016,TN,82120,290.175,276.9275,173.11,12,3
2016,TN,99248,288.025,295.03333333333336,221.88,12,3
2016,TX,20069,282.59000000000003,287.27208333333334,168.09,12,2
2016,TX,26539,228.7,274.9277777777778,210.64,7,9
2016,TX,27248,274.85,273.39,199.87,5,2
2016,TX,29418,240.005,240.13613636363635,169.85,11,8
2016,TX,32673,315.26,323.08867924528306,176.67,35,7
2016,TX,33602,284.565,292.40597633136093,168.54,338,26
2016,TX,37392,271.53499999999997,282.98699999999997,237.69,5,4
2016,TX,37755,348.24,355.26652777777775,289.31,9,8
2016,TX,40788,333.71500000000003,357.8403409090909,280.12,11,8
2016,TX,45786,281.57500000000005,279.02575,204.12,5,8
2016,TX,46224,257.615,261.6292857142857,208.64,14,1
2016,TX,55409,385.07,383.32428571428574,312.78,7,1
2016,TX,63141,294.49,294.457,183.6,10,2
2016,TX,63509,281.29,271.29407407407405,169.6,7,5
2016,TX,66252,239.57,245.05514285714287,170.43,35,5
2016,TX,71837,228.66,235.0233333333333,206.52,3,2
2016,TX,76589,320.18,319.8885714285714,264.91,7,1
2016,TX,85947,307.35,306.0525,190.04,10,12
2016,TX,91716,306.495,318.06425,235.11,12,8
2016,UT,18167,224.87,222.55444444444444,180.13,3,3
2016,UT,42261,304.79,299.1823076923077,197.68,5,3
2016,UT,56764,234.385,249.07333333333335,184.99,6,1
2016,UT,68781,303.615,309.14133333333336,197.59,60,6
2016,VA,10207,374.77,346.625,197.71,10,1
2016,VA,12028,242.615,269.03375,178.65,8,3
2016,VA,15668,301.84000000000003,318.626,247.31,10,5
2016,VA,20507,322.23,335.000495049505,254.67,13,12
2016,VA,37204,277.845,293.934,231.33,10,5
2016,VA,38234,312.765,313.10738095238094,187.43,12,6
2016,VA,38599,316.55,324.2246666666667,236.78,6,5
2016,VA,40308,412.47,417.93,285.02,3,1
2016,VA,88380,290.96500000000003,298.9391111111111,195.53,27,12
2016,VA,95185,291.44,296.60499999999996,196.45,10,3
2016,VA,99663,285.99,292.6743333333333,164.23,18,4
2016,WI,32754,364.49,371.30375,291.06,4,4
2016,WI,37833,343.15999999999997,357.75865384615383,168.64,78,5
2016,WI,38166,374.85,385.69138888888887,227.86,18,9
2016,WI,38345,295.36,291.9341095890411,152.05,38,7
2016,WI,39924,439.28999999999996,447.891076923077,289.85,10,13
2016,WI,47342,359.71,352.73329411764706,249.56,34,5
2016,WI,52697,301.165,312.17958333333337,240.2,3,8
2016,WI,57845,474.20500000000004,460.26725,224.83,10,4
2016,WI,58326,314.43,318.6,222.7,9,1
2016,WI,58564,344.24,355.5925333333334,242.61,15,5
2016,WI,79475,390.095,409.63964285714286,249.76,14,10
2016,WI,81413,362.29999999999995,356.725625,269.11,8,4
2016,WI,84670,391.31,382.9678125,237.96,84,10
2016,WI,87416,348.925,352.9475,212.52,10,6
2016,WI,91058,420.96000000000004,428.59437499999996,283.61,16,3
2016,WI,94529,379.90999999999997,374.53875,210.73,24,5
2016,WV,31274,381.78,378.1989839572193,244.38,17,11
2016,WV,50328,353.3,365.8341666666667,237.75,30,4
2016,WY,11269,467.77,476.97399999999993,333.7,30,3
2017,AK,38344,902.0,870.5333333333333,703.0,5,3
2017,AL,46944,429.84,429.1408791208791,262.04,7,13
2017,AR,37903,382.96500000000003,383.526,359.17,2,5
