puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network
2017,2015,True,KS,27811,"BlueCross BlueShield Kansas Solutions, Inc.",330632,12624,38,,,,,,,,330632.0,12624.0,0.038181422245880614,,0.0030101394169835234,,,,
2017,2015,True,LA,19636,"HMO Louisiana, Inc.",1078158,421585,260,132,,,,,,,1078158.0,421585.0,0.3910233936027929,,0.0006167202343536891,0.5076923076923077,,,
2017,2015,True,LA,44965,"Humana Health Benefit Plan of Louisiana, Inc.",127753,32445,41,14,15,,,,,,127753.0,32445.0,0.25396663874820946,,0.0012636769918323316,0.34146341463414637,,,
2017,2015,True,LA,67243,"Vantage Health Plan, Inc.",119887,13194,275,188,,,,,,,119887.0,13194.0,0.11005363383853128,,0.02084280733666818,0.6836363636363636,,,
2017,2015,True,LA,97176,Louisiana Health Service & Indemnity Company,1793411,678588,288,123,,,,,,,1793411.0,678588.0,0.3783784085187389,,0.00042441068807582804,0.4270833333333333,,,
2017,2015,True,ME,33653,Maine Community Health Options,3181929,230666,501,261,,,,,,,3181929.0,230666.0,0.0724925037610833,,0.002171971595293628,0.5209580838323353,,,
2017,2015,True,ME,48396,Anthem Health Plans of ME(Anthem BCBS),453635,86780,187,106,,,,,,,453635.0,86780.0,0.19129917224200071,,0.0021548743950218943,0.5668449197860963,,,
2017,2015,True,ME,96667,Harvard Pilgrim  Health Care Inc.,24457,6162,,,,,,,,,24457.0,6162.0,0.2519524062640553,,,,,,
2017,2015,True,MI,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,5121434,841891,830,474,33,,,,,,5121434.0,841891.0,0.16438579507223952,,0.000985875843785003,0.5710843373493976,,,
2017,2015,True,MI,29698,Priority Health,1390611,288601,179,16,,,,,,,1390611.0,288601.0,0.20753539271586374,,0.0006202334711244937,0.0893854748603352,,,
2017,2015,True,MI,37651,Health Alliance Plan (HAP),194495,40596,51,14,,,,,,,194495.0,40596.0,0.2087251600298208,,0.001256281407035176,0.27450980392156865,,,
2017,2015,True,MI,40047,"Molina Healthcare of Michigan, Inc.",7247,1057,,,,,,,,,7247.0,1057.0,0.14585345660273216,,,,,,
2017,2015,True,MI,46275,"Humana Medical Plan of Michigan, Inc.",246738,73432,194,90,19,,,,,,246738.0,73432.0,0.29761123134661055,,0.002641899989105567,0.4639175257731959,,,
2017,2015,True,MI,58594,"Meridian Health Plan of Michigan, Inc.",6045,3599,,,,,,,,,6045.0,3599.0,0.5953680727874276,,,,,,
2017,2015,True,MI,60829,Physicians Health Plan,62923,6054,,,,,,,,,62923.0,6054.0,0.09621283155602879,,,,,,
2017,2015,True,MI,67183,"Total Health Care USA, Inc.",61556,12948,59,,,,,,,,61556.0,12948.0,0.2103450516602768,,0.00455668829162805,,,,
2017,2015,True,MI,74917,McLaren Health Plan Community,,,,,,,,,,,,,,,,,,,
2017,2015,True,MI,98185,Blue Care Network of Michigan,3485406,772460,425,278,11,,,,,,3485406.0,772460.0,0.22162697832045966,,0.0005501903011159154,0.6541176470588236,,,
2017,2015,True,MO,30613,Humana Insurance Company,73679,18826,70,46,,,,,,,73679.0,18826.0,0.25551378276035236,,0.003718261978115372,0.6571428571428571,,,
2017,2015,True,MO,32753,Healthy Alliance Life Co(Anthem BCBS),1796648,415409,144,50,,,,,,,1796648.0,415409.0,0.23121334841326738,,0.0003466463172439692,0.3472222222222222,,,
2017,2015,True,MO,34762,Blue Cross and Blue Shield of Kansas City,1432795,91982,78,21,,,,,,,1432795.0,91982.0,0.06419759979620253,,0.0008479919984344764,0.2692307692307692,,,
2017,2015,True,MO,74483,Cigna Health and Life Insurance Company,204026,31306,23,,,,,,,,204026.0,31306.0,0.15344122807877428,,0.0007346834472625055,,,,
2017,2015,True,MS,48963,Humana Insurance Company,356215,94935,161,117,21,,,,,,356215.0,94935.0,0.2665103940036214,,0.0016958971928161374,0.7267080745341615,,,
2017,2015,True,MS,90714,Ambetter of Magnolia Inc.,,,,,,,,,,,,,,,,,,,
2017,2015,True,MT,23603,PacificSource Health Plans,245805,20728,150,35,,,,,,,245805.0,20728.0,0.08432700718048859,,0.007236588189888074,0.23333333333333334,,,
2017,2015,True,MT,30751,Blue Cross and Blue Shield of Montana,644586,75944,22,,,,,,,,644586.0,75944.0,0.11781825854114114,,0.00028968713789107763,,,,
2017,2015,True,MT,32225,Montana Health Cooperative,598861,166736,250,133,,,,,,,598861.0,166736.0,0.2784218708514998,,0.001499376259476058,0.532,,,
2017,2015,True,NC,11512,Blue Cross and Blue Shield of NC,15422421,1683904,1275,406,52,22,,,,,15422421.0,1683904.0,0.10918545149299193,,0.0007571690547679677,0.3184313725490196,0.4230769230769231,,
2017,2015,True,ND,37160,Blue Cross Blue Shield of North Dakota,431271,49642,47,26,,,,,,,431271.0,49642.0,0.11510627888265151,,0.0009467789371902824,0.5531914893617021,,,
2017,2015,True,ND,73751,Medica Health Plans,80155,14905,,,,,,,,,80155.0,14905.0,0.18595221757844177,,,,,,
2017,2015,True,ND,89364,Sanford Health Plan,28846,1688,,,12,,,,,,28846.0,1688.0,0.05851764542744228,,,,,,
2017,2015,True,NE,20305,Medica Insurance Company,,,,,,,,,,,,,,,,,,,
2017,2015,True,NH,59025,Harvard Pilgrim Health Care of NE,252858,68285,53,37,,,,,,,252858.0,68285.0,0.27005275688331,,0.000776158746430402,0.6981132075471698,,,
2017,2015,True,NH,61163,"Minuteman Health, Inc",176997,27388,147,90,,,,,,,176997.0,27388.0,0.1547370859393097,,0.005367314152183438,0.6122448979591837,,,
2017,2015,True,NH,75841,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,
2017,2015,True,NH,96751,Matthew Thornton Hlth Plan(Anthem BCBS),1057992,206656,538,269,,,,,,,1057992.0,206656.0,0.19532850910025784,,0.002603360173428306,0.5,,,
2017,2015,True,NJ,77606,"AmeriHealth HMO, Inc.",892084,524820,59,18,,,,,,,892084.0,524820.0,0.5883078275140009,,0.00011241949620822377,0.3050847457627119,,,
2017,2015,True,NJ,91661,"Horizon Healthcare Services, Inc.",4372828,1413523,1131,336,116,53,,,,,4372828.0,1413523.0,0.32325145192081645,,0.0008001284733251599,0.29708222811671087,0.45689655172413796,,
2017,2015,True,NJ,91762,AmeriHealth Ins Company of New Jersey,2504870,1461386,238,59,,,,,,,2504870.0,1461386.0,0.5834179019270461,,0.00016285909403812544,0.24789915966386555,,,
2017,2015,True,NM,19722,"Molina Health Care of New Mexico, Inc.",34739,4665,19,,,,,,,,34739.0,4665.0,0.13428711246725583,,0.004072883172561629,,,,
2017,2015,True,NM,72034,CHRISTUS Health Plan,5015,1222,,,,,,,,,5015.0,1222.0,0.2436689930209372,,,,,,
2017,2015,True,NM,75605,Blue Cross Blue Shield of New Mexico,464924,67162,56,14,,,,,,,464924.0,67162.0,0.14445801894503188,,0.0008338048301122659,0.25,,,
