market_year,state,issuer_id,issuer_name,plan_count,product_count,network_count,service_area_count,new_plan_count
2023,TX,66252,CHRISTUS Health Plan,140,14,1,10,74
2023,TX,71837,"Sendero Health Plans, Local Nonprofit",9,1,1,1,4
2023,TX,76589,Cigna Healthcare,18,1,1,1,18
2023,TX,87226,Ambetter from Superior HealthPlan,28,5,2,5,10
2023,UT,18167,Molina Healthcare,6,2,1,1,2
2023,UT,22013,Regence BlueCross BlueShield of Utah,13,3,2,2,5
2023,UT,34541,BridgeSpan Health Company,4,2,1,1,3
2023,UT,42261,University of Utah Health Plans,16,2,2,2,11
2023,UT,68781,SelectHealth,44,2,3,3,19
2023,UT,81808,Cigna Healthcare,16,1,1,1,6
